candidate_id,name,category,primary_use,authority_score,coverage_score,puerto_rico_fit,auth_requirements,cost,write_risk,provenance_support,adoption_status,notes
cand-001,Federal Register MCP,government,Track published federal rules and notices relevant to PR agencies,0.9,0.7,0.6,none_or_low,free,low,high,pilot,Official publication of record; strong provenance via document ID and date.
cand-002,Federal Regulations MCP,government,Look up codified regulatory text (eCFR-class),0.9,0.7,0.6,none_or_low,free,low,high,pilot,Complements Federal Register MCP with in-force regulation text.
cand-003,SAM.gov Contracts MCP,government,Federal contractor/award registration lookup for MoneySweep,0.85,0.6,0.5,api_key_likely,free,low,medium,conditional,Requires SAM.gov API key; coverage of PR-based entities needs validation.
cand-004,USAspending Adapter,government,Federal spending/award data for MoneySweep contracts capability,0.85,0.65,0.5,none_or_low,free,low,high,pilot,Public API; strong award-level provenance.
cand-005,Geospatial Geocoding MCP,geospatial,Address and place-name geocoding for spatial capability,0.6,0.7,0.5,none_or_api_key,free_or_low,low,medium,pilot,PR fit depends on provider's PR address coverage; verify per-vendor.
cand-006,Terrain Elevation MCP,geospatial,Elevation/DEM lookup for terrain capability,0.7,0.6,0.55,none_or_low,free,low,medium,pilot,USGS-derived sources generally cover PR at coarser resolution.
cand-007,Weather MCP,domain,Current conditions and forecast for weather capability,0.65,0.7,0.6,none_or_api_key,free_or_low,low,medium,pilot,NOAA-backed sources fit PR well; commercial ones vary.
cand-008,Provenance Content Registry MCP,core,Content-addressable provenance ledger for adapter outputs,0.6,0.5,0.5,none_or_low,free,low,high,conditional,Supports the provenance capability's lineage requirements directly.
cand-009,Governance Policy Gate MCP,core,Runtime policy-gate enforcement for read_only/write_policy rules,0.5,0.4,0.5,none,free,low,medium,conditional,No runtime exists yet to consume this; tracked for the future runtime phase.
cand-010,AIS Logistics MCP,domain,Vessel/AIS tracking relevant to port and logistics observation,0.55,0.4,0.4,api_key_possible,free_or_paid,low,medium,hold,Coverage and PR-specific fit not yet validated.
cand-011,Parcel Zoning Flood MCP,geospatial,Parcel/zoning/flood overlay data for Spiderweb-class capabilities,0.6,0.55,0.6,none_or_api_key,free_or_paid,low,medium,conditional,Flood-layer fit for PR municipalities needs a validation pass.
cand-012,Generic Paid API Marketplace,domain,Catch-all marketplace aggregating many third-party APIs,0.2,0.5,0.3,api_key_likely,paid,medium,low,hold,Low authority and weak provenance; broad write-risk surface across bundled APIs.
cand-013,Personal GPS Location MCP,domain,Individual/personal device GPS location for field-ops,0.3,0.4,0.4,secret_required,paid,high,low,reject,Carries personal-location privacy risk and requires credential material this registry will not hold; rejected per hard-block rules.
